class,type,sample,event,te,dte-,dte+,ta,dta-,dta+,eps95mo,deps95mo,D95mo,dD95mo
# Carbonaceous irons
C,I,IIC,core,2.6,1.3,1.3,1.4,0.2,0.2,1.56,0.07,22,9
C,I,IID,core,2.3,0.6,0.6,1.3,0.2,0.2,0.99,0.08,29,9
C,I,IIF,core,2.5,0.7,0.7,1.5,0.2,0.2,0.96,0.04,30,5
C,I,IIIF,core,2.2,1.1,1.1,1.4,0.2,0.2,0.97,0.08,24,9
C,I,IVB,core,2.8,0.7,0.7,1.4,0.2,0.2,1.16,0.05,24,8
# Non-carbonaceous irons
NC,I,IAB,core,6.0,0.8,0.8,1.4,0.1,0.1,-0.07,0.05,-9,8
NC,I,IC,core,0.3,0.5,0.5,0.2,0.2,0.2,0.36,0.06,-13,8
NC,I,IIAB,core,0.8,0.5,0.5,0.2,0.2,0.2,0.51,0.06,-18,9
NC,I,IIIAB,core,1.2,0.5,0.5,0.2,0.2,0.2,0.45,0.06,-18,8
NC,I,IIIE,core,1.8,0.7,0.7,0.2,0.2,0.2,0.44,0.07,-12,7
NC,I,IVA,core,1.5,0.6,0.6,0.2,0.2,0.2,0.36,0.05,-11,7
#, Carbonaceous achondrites
C,A,Tafassasset,,,,,1.9,0.2,0.2,1.22,0.06,22,7
# Non-carbonaceous achondrites
NC,A,Acapulcoites,,,,,1.3,0.3,0.3,0.48,0.03,-7,5
NC,A,Winonaites,,3.6,2.0,2.3,1.8,,,0.09,0.09,-6,13
#NC,A,Brachinites,,,,,,,,0.58,0.08,-9,12
NC,A,Ureilites,,1.9,0.7,2.2,1.0,0.3,0.3,0.38,0.04,-15,7
NC,A,Angrites,,,,,0.5,0.4,0.4,0.39,0.06,-6,9
NC,A,Aubrites,,,,,1.5,0.1,0.1,0.25,0.06,-4,7
NC,A,Mesosiderites,,,,,0.9,0.9,0.3,0.46,0.05,-16,7
# Carbonaceous chondrites
C,C,TL,hydr,4.1,1.1,1.3,3.5,0.5,0.7,,,,
C,C,CM,hydr,4.1,0.4,0.5,3.6,0.6,0.6,3.17,0.16,30,20
C,C,CV,hydr,4.2,0.7,0.8,2.7,0.3,0.3,0.81,0.05,23,12
C,C,CR,hydr,4.2,1.3,1.8,3.6,0.6,0.6,2.26,0.04,23,4
C,C,CI,hydr,4.4,0.5,0.6,3.6,0.5,0.5,0.69,0.23,22,34
C,C,CO,hydr,5.1,0.4,0.5,2.7,0.2,0.2,1.39,0.34,40,40
C,C,CH,,,,,3.2,0.3,0.3,1.29,0.04,22,7
#C,C,CK,,,,,2.6,0.2,0.2,,,
# Non-carbonaceous chondrites
NC,C,EH,,2.0,,,1.83,0.1,0.1,0.20,0.10,-10,14
NC,C,EL,,,,,1.83,0.1,0.1,0.13,0.06,-7,9
NC,C,OC,hydr,2.4,1.3,1.8,2.1,0.1,0.1,0.24,0.04,-14,7
NC,C,RC,,,,,2.1,0.1,0.1,0.18,0.05,-7,8
#
#A),Sugiura,&,Fujiya,(2014)
#B),Desch,et,al.,(2018)
#C),Kleine,et,al.,(2020)
#D),Doyle,et,al.,(2015)
#E),Bryson,&,Brennecka,(2021)
#F),Kruijer,et,al.,(2014)
#(1),Burkhardt,et,al.,(2011)
#(2),Burkhardt,et,al.,(2014)
#(3),Budde,et,al.,(2016)
#(4),Budde,et,al.,(2018)
#(5),Budde,et,al.,(2019)
#(6),Worsham,et,al.,(2019)
#(7),Yokoyama,et,al.,(2019)
#(8),Render,et,al.,(2017)
#(9),Worsham,et,al.,(2017)
#(10),Hopp,et,al.,(2020)
#(11),Bermingham,et,al.,(2018)
#(12),Poole,et,al.,(2017)
